0,Text,User,User ID,Description,Location
409,BREAKING #NEWS: #Broward County #Florida To Undergo #Ballot Machine #Recount - @MSNBC - Bravo! #Election #Midterm\xe2\x80\xa6 https://t.co/Ha1dj6plal,Laurie,85504593,"Travel w/  temp agencies, mainly legal. Political focus from working at CA Courthouse & living in FL 2000. Cert. Home Health Aide. *Nature*Wildlife*Environment*","No Name, CO"
410,#Marijuana won the #midterm elections\n https://t.co/FGeF0z4Kz4,Teus,55808932,You're either with legalize or you're with the terrorists.,Where in the world am i?
411,RT @FSCDems: Ranking Member @RepMaxineWaters' Statement on the 2018 #Midterm Election Results\n\nREAD: https://t.co/IbkAOFhURA https://t.co/T\xe2\x80\xa6,\xf0\x9f\x92\x99The House is Blue\xf0\x9f\x8c\x8a\xf0\x9f\x92\x99,46468621,"History, politics and knowledge. \xf0\x9f\xa6\x89 ""Actions not words""",New York
412,Three more states win the fight for #cannabis in the #midterm election! \xf0\x9f\x92\xaa Congratulations #Michigan #Utah and\xe2\x80\xa6 https://t.co/ZQ0HDKDddq,: Errl Cup,3433356645,Errl Cup Cannabis Awards and Festival. #ErrlCup #710DegreeCup #ErrlWars #ErrlStock #mmj #cannabis all the details on our site or hit us up at ErrlCup@gmail.com,phoenix az
413,"@AJEnglish This is encouraging news, but how abt showing a photo of some #winners along with your headline. Plz sto\xe2\x80\xa6 https://t.co/054V2IUeiS",Dolores A.,236716043,"Mother, grandmother, news junkie~Blue Girl in Red State/Born in East LA~ #GunSenseVoter ~ Bienvenidos Immigrants y Refugees #StillWithHer",Idaho
414,"New DJ Mix. Made it while I DJed, and the #MidTerm election results played out behind me! check it out:\xe2\x80\xa6 https://t.co/E5l6orPhJK",Rich Burroughs,11360342,"Novel: A Hot Date With Destiny https://t.co/6J9VJYpZFH, DJ Dick @ Nite: https://t.co/Ycs5T1rOEF, Blog: https://t.co/GgtRECRUp0","\xc3\x9cT: 40.811139,-73.952803"
415,RT @WRIClimate: Important wins by climate champions in the #midterm elections will expand the map of states committed to clean #energy. Her\xe2\x80\xa6,Fleur E Newman,605325861,"If not us, then who? If not now, then when? If not here, then where? My tweets are my own opinion. RTs and \xe2\x80\x98likes\xe2\x80\x99 do not indicate endorsement or agreement.",
416,Jeff And Joel Skousen - The #Midterm Left Turn https://t.co/SHP1DWFmow,Gasventil \xf0\x9f\x9a\x81    \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa\xf0\x9f\x87\xae\xf0\x9f\x87\xaa,1026755862168129538,White man stand with me or stand out of my way!,Weimerica 
417,RT @RH_restaurant: What restaurants can expect after the midterm elections https://t.co/OnDLG2RM9V @GloriaDawson\xe2\x80\xa6 https://t.co/DYmThI7C5L,Pepper Touch POS,840438546368462849,Pepper Touch POS - Point of Sale software comes with a variety of stand-out features that enable your restaurants & cafes easily and effectively.,India
418,The #midterm #elections weren't the only big #leadership news this week. Here's what else you may have missed:\xe2\x80\xa6 https://t.co/2GfvVXH1Zw,\xe2\xad\x95\xef\xb8\x8fCarole CHABALIER \xf0\x9f\x87\xab\xf0\x9f\x87\xb7,106216566,HumanResourcesDirector #Learning #Coaching #Leadership #FutureofWork #EmotionalIntelligence #CollectiveIntelligence #Cooperation #Facilitation #LifeAddict,"Paris, France"
419,The #midterm #elections weren't the only big #leadership news this week. Here's what else you may have missed:\xe2\x80\xa6 https://t.co/2261dAb1t6,Korn Ferry,29489300,Korn Ferry (NYSE: KFY) is a global organizational consulting firm. We help clients synchronize strategy and talent to drive superior performance. #BeMoreThan,Global
420,"""For decades, [Mahoning] county has been dominated by Democrats and local party hacks who held nearly all offices a\xe2\x80\xa6 https://t.co/4ukKOKLUV6",The Business Journal,314550535,"Whether online or in-hand, The Business Journal acts as a catalyst, resource and point-of-contact for today\xe2\x80\x99s business leaders in the five-county area.","Youngstown, Ohio"
421,@evanasmith Enjoyed your musings to @NTAASB about the election \xf0\x9f\x97\xb3 #midterm #TXLeg https://t.co/eM9FbO2pxd,ProznikForLISD,4812233006,,
422,"RT @michaeljohns: Actually, you don't get to redefine math:\n\nThe '10 #TeaParty victory in the U.S. House swept 63 Republicans into office,\xe2\x80\xa6",David A. Cain,517876210,Followed by @tedcruz @SeanHannity @JohnKasich @RoyBluntMO @RepAnnWagner @BrianMastFL  @DianeBlackTN  @TexasGOP @KrisParonto @MichaelJohns @MattBatzel @AFPhq,Tip O'Neil's House District
423,Explain the #midterm election poll results to your students w/ #Gizmos. Help them investigate how reliably polls es\xe2\x80\xa6 https://t.co/1cxEuFdhUm,ExploreLearning,19675956,We make Gizmos! Online math & science simulations that power inquiry and understanding. And\xe2\x80\xa6 We make Reflex! The most effective math fact fluency system ever.,
424,"RT @melanie73: My #midterm takeaways: 1.This is a marathon, not a sprint. #Dallas prevailed, TX did not. 2.Never vote Day 1 of early voting\xe2\x80\xa6",Judy Alter,264545160,Kelly O'Connell Mysteries and Blue Plate Caf\xc3\xa9 Mysteries. Full-time #author. #Foodie #Dog lover,"Fort Worth, Texas"
425,Every vote counts so count every vote. \n#midterm #saturdaymorning #VOTE #USA https://t.co/S7QAEDwlpm,Michael Scoggins,15119906,Drawing King,"Greenpoint, Brooklyn"
426,RT @Bonn1eGreer: That is indeed surprising..\n #Democrats  took 29 GOP seats on Tuesday and still counting; over 300 seats in state legislat\xe2\x80\xa6,Patricia Quinlan #FBPE,52884434,"Worked as Teacher, French, Maths, School plays, Chess, Mother, Pets: dog, cat, Love 2 Grow my Own vegetables & fruit, Extremely worried about Brexit",
427,"RT @WValderrama: \xf0\x9f\x87\xba\xf0\x9f\x87\xb8Two Native American women, a Somali refugee &amp; the first openly gay man elected governor, Texas sends the first 2 Hispani\xe2\x80\xa6",Clotilde Mydylarama,1080066680,"Catholique diff\xc3\xa9rente (?) : ni raciste, ni homophobe, ni ptochophobe... Respect, Bienveillance et Enthousiasme ! #TeamJesus B&R75 90sBitch Fran\xc3\xa7aise de #Paris",Clermont-Ferrand
428,RT @WRIClimate: Important wins by climate champions in the #midterm elections will expand the map of states committed to clean #energy. Her\xe2\x80\xa6,Dr. Seeme Mallick,1951619215,I teach Energy Economics and Agriculture Economics. My research work is on Climate-Finance. I am interested in Tectonic-Plates & Hurricanes.  I like bass music.,
429,What the #Midterm #Elections Mean for #Higher #Ed - The Chronicle of Higher Education https://t.co/ZYytG5wzpt,Shahrazad Kablan,248049278,"Official Account - International Education Consultant, Peace & Human Rights Activist. You can take girl out of Libya, but you can't take Libya out of the girl","Washington, DC Benghazi, Libya"
430,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,Marc Larson,888869757193146368,"God fearing,\xf0\x9f\x99\x8fFamily loving,\xe2\x9d\xa4\xef\xb8\x8fCertified #MAGA,\xf0\x9f\x87\xba\xf0\x9f\x87\xb8! If you ain\xe2\x80\x99t Trump\xe2\x80\x99n you\xe2\x80\x99re just another Chump\xe2\x80\x99n!\xf0\x9f\x91\x8d#NRA Golden Eagle! \xe2\x9a\x94\xef\xb8\x8f\xf0\x9f\x9a\xabLibs,Porn,Dates","Washington, USA"
431,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,T-Covfefe,2341977604,"Politics, current events, animal lover,1A 2A,wife, mother, reformed democrat, Trump supporter #TrumpTrain  #Trump2020 #AmericaFirst #MAGA #KAG #StopTheSteal","Boston, MA"
432,RT @kimasabe: @RBReich @Liberal108 GOP\xe2\x80\x99s level of corruption boggles our minds\xe2\x80\xbc\xef\xb8\x8f @SenateDems please demand JUSTICE for all #MidTerm candida\xe2\x80\xa6,"Kim, L.A. West \xf0\x9f\x8c\x8a\xe2\x98\xae\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9a\x96\xef\xb8\x8f\xf0\x9f\x8f\x93",21784241,"L.A.Native\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc:Racism, Hate,\xf0\x9f\x9a\xad+\xe2\x99\xa5\xef\xb8\x8f https://t.co/gqCAeCGarV UKTravel\xf0\x9f\x87\xac\xf0\x9f\x87\xa7, Quality:\xf0\x9f\x93\x9aTV\xf0\x9f\x96\x96\xf0\x9f\x8f\xbc#TREK; \xf0\x9f\x8e\xb6: #FAB4, #BSB #RESIST \xf0\x9f\x8c\x8a #PowerToThePolls #VOTE \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #FightClub\xf0\x9f\xa5\x8a","L.A. West,San Gabriel Native\xe2\x9b\xaa\xef\xb8\x8f"
433,@RBReich @Liberal108 GOP\xe2\x80\x99s level of corruption boggles our minds\xe2\x80\xbc\xef\xb8\x8f @SenateDems please demand JUSTICE for all\xe2\x80\xa6 https://t.co/G6ESFcqdVe,"Kim, L.A. West \xf0\x9f\x8c\x8a\xe2\x98\xae\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9a\x96\xef\xb8\x8f\xf0\x9f\x8f\x93",21784241,"L.A.Native\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc:Racism, Hate,\xf0\x9f\x9a\xad+\xe2\x99\xa5\xef\xb8\x8f https://t.co/gqCAeCGarV UKTravel\xf0\x9f\x87\xac\xf0\x9f\x87\xa7, Quality:\xf0\x9f\x93\x9aTV\xf0\x9f\x96\x96\xf0\x9f\x8f\xbc#TREK; \xf0\x9f\x8e\xb6: #FAB4, #BSB #RESIST \xf0\x9f\x8c\x8a #PowerToThePolls #VOTE \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #FightClub\xf0\x9f\xa5\x8a","L.A. West,San Gabriel Native\xe2\x9b\xaa\xef\xb8\x8f"
434,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,Robert LeVASSEUR,48070183,,"Jacksonville, Fl"
435,A lawyers favorite strategy only works when it's sincere. The Democrats doing\xe2\x80\x99 is pretty obvious.\xe2\x80\xa6 https://t.co/l6mZCLLoh3,Daniel Velez,926706705693634560,\xf0\x9f\x90\xbePet Service Provider @SobePooch \xf0\x9f\x87\xba\xf0\x9f\x87\xb8Hispanic American (if it matters to you)\xf0\x9f\x87\xb5\xf0\x9f\x87\xb7 \xe2\x9c\x9d\xef\xb8\x8f Christian \xf0\x9f\x8e\xbc Musician (Hobby)\xe2\x9a\x96\xef\xb8\x8fCapitalist (I Love Competition),"Miami Beach, FL"
436,Buy #BAT below 4000\n\nSell Targets\n\n4500\n5000\n\n#BINANCE #BITTREX\n#shortterm #midterm #longterm,Priyanka Angel\xf0\x9f\x91\x91,1058709047837319168,,
437,RT @WRIClimate: Important wins by climate champions in the #midterm elections will expand the map of states committed to clean #energy. Her\xe2\x80\xa6,Klaas Walma,154985912,"Married:Catherine Semple. Sons: Peter and Tim. Dog: MissJiff. Football Teams: Netherlands, Chelsea and Arsenal","Dundas, Ontario, Canada"
438,"For #Democrats, a #midterm election that keeps on giving https://t.co/kNyWLtcWsO",spaniel,16702966,,it varies
439,"For #Democrats, a #midterm election that keeps on giving https://t.co/kNyWLtcWsO Let's use this opportunity to over\xe2\x80\xa6 https://t.co/CAbnXxagvs",spaniel,16702966,,it varies
440,RT @WRIClimate: Important wins by climate champions in the #midterm elections will expand the map of states committed to clean #energy. Her\xe2\x80\xa6,Dan Lashof,22041466,"Director, WRI United States","Washington, DC"
441,RT @FSCDems: Ranking Member @RepMaxineWaters' Statement on the 2018 #Midterm Election Results\n\nREAD: https://t.co/IbkAOFhURA https://t.co/T\xe2\x80\xa6,Christina,717195376453783554,Clinton/Obama Democrat. Human. Feminist. Pro-EU #SheWon #ReSister #NeverBernie #OnwardTogether #TheResistance #FBPE \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb5\xf0\x9f\x87\xb7\xf0\x9f\x87\xaa\xf0\x9f\x87\xba \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88,"Pennsylvania, USA"
442,What restaurants can expect after the midterm elections https://t.co/ej79TNb0ZQ @GloriaDawson  #midterm\xe2\x80\xa6 https://t.co/SYhPEUJfo7,RH Magazine,19612836,@RH_restaurant is the premier source of business inspiration and information for independent #restaurant #operators across the U.S.,
443,RT @sheredlingllp: #Climatechange takeaways from the #midterm #elections https://t.co/9vr9A2kyxv,ALAIN JIMENEZ FADUL,993354842,"M\xc3\xa9dico, Ger. de Salud P\xc3\xbablica Ambientalista y Animalista por convicci\xc3\xb3n, Pres Alianza Contra el Fracking en la Sierra Nvda de Sta Marta, imperfectamente humano.",Colombia
444,RT @WRIClimate: Important wins by climate champions in the #midterm elections will expand the map of states committed to clean #energy. Her\xe2\x80\xa6,Saleemul Huq,25081451,"Director, @ICCCAD and Senior Fellow, @IIED. Work on adaptation to climate change. Views presented are my own.","London, UK"
445,RT @nizmycuba: No surprise Dem Party\xe2\x80\x99s been the real Racist Party: \n\xe2\x80\x9cI know they all look alike\xe2\x80\x9d HRC jokes ornery abt blacks &amp; MSM finds it\xe2\x80\xa6,Libertario NI-US-VE,1000026007871672320,"VIVA VENEZUELA LIBRE Y DEMOCRATICA. Ex director de Negociado Internacional de Investigaciones Especiales. Americano, Nica, Venezolano.","Caracas, Venezuela //  Florida"
446,Important wins by climate champions in the #midterm elections will expand the map of states committed to clean\xe2\x80\xa6 https://t.co/lIWqqMWryQ,WRI Climate,202313343,"Advancing transformative climate solutions. Analysis, insight, and research on climate change from WRI Climate at the @WorldResources.",International
447,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,Pam Mck,928318656840388608,WOKE!!!!!!,
448,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,David Pope,480471127,,
449,RT @SelenaMaranjian: :) #election #midterms #Midterm #liberal #GOP #ElectionResults2018\n#DemsTakeTheHouse\nRT @TheDairylandDon \nHardest part\xe2\x80\xa6,Rick Gregory,770642603184418816,"Dad, runner, riding on the peace train","Bel-Nor, MO"
450,"RT @AJUpFront: PREVIEW: According to President Trump's #midterm campaign ad, Democrats had let in an undocumented migrant who killed police\xe2\x80\xa6",Hon. Samatar Abdimalik,1033919591477600256,Member of Belgium research group  |  former secretary of Belgium youth org.,
451,RT @anete_newt: #GOP Bullies! $ Idol! #ProtectMueller #Trump #GOPVoteBlue #Democrats #DemsTakeTheHouse #Dems #bluewave #BlueWave2018 #Muell\xe2\x80\xa6,DMW,120449708,Taurean who \xe2\x9d\xa4\xef\xb8\x8f all cultures. Jane Austen Fan. Enjoy all things British. Lefty politics and will not engage with RWers.,New York
452,"After #midterm #elections, #\xe2\x80\x98experts\xe2\x80\x99 #vehemently #oppose #blockchain #voting \n#cryptocurrency #crypto #ethereum\xe2\x80\xa6 https://t.co/V52DEB6WRJ",CoinCaps.ai,2507323260,Trading a revolution. #cryptocurrencies,The World
453,"New post: After Midterm Elections, \xe2\x80\x98Experts\xe2\x80\x99 Vehemently Oppose Blockchain Voting https://t.co/ZbYPwKbRwZ\xe2\x80\xa6 https://t.co/oiUOWSLGC4",RegTech Connect,397781478,"Connecting innovators of bold, brilliant, beneficial #regtech that secure and enable highly-regulated businesses | @MIT alum",
454,"RT @damocrat: The thing that amazes me more than anything about Trump, is that millions of Americans believe the complete and utter bullshi\xe2\x80\xa6",Aarcus,2834958361,,
455,#GOP Bullies! $ Idol! #ProtectMueller #Trump #GOPVoteBlue #Democrats #DemsTakeTheHouse #Dems #bluewave\xe2\x80\xa6 https://t.co/QXQkCia24l,Impeach Traitor tRump!,978741104567816194,#traitortrump & corrupt #GOP are destroying America! #impeachtrump #Democrats #bluewave #SalutetoService,"Ohio, USA"
456,@Tim_Canova @SunSentinel @ScottforFlorida GR8 segment on .@foxandfriends just now! There's SO MUCH evidence in this\xe2\x80\xa6 https://t.co/WtdawHSyaP,\xf0\x9f\x8e\xba\xf0\x9f\x98\x8e\xf0\x9f\x92\x95Cori \xf0\x9f\x8f\x9d\xf0\x9f\x99\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8,247860908,KAG\xe2\x9d\x97\xef\xb8\x8fThe end of political correctness marks the beginning of reclaiming America. #BuildTheWall #endPC #DefundPP #ProLife #TermLimits #MAGA #KeepAmericaGreat,"Marco Island, FL"
457,#Trump was an asshole to @Acosta during his post #MidTerm #Election #PressConference . @realDonaldTrump was fucking\xe2\x80\xa6 https://t.co/tYiapRRYQ3,Blue Oyster Dvp,52835205,Oakland Raiders-New Jersey Devils-Cleveland Indians #GoZags #SternShow #Resist,NY displaced from Oakland
458,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,michele giammarco,1719040435,,
459,"For \xe2\x81\xa6@TheDemocrats\xe2\x81\xa9 , a #midterm election that keeps on giving... while the \xe2\x81\xa6@GOP\xe2\x81\xa9 loses suburban, young, &amp; women v\xe2\x80\xa6 https://t.co/xR4aoBgKuc",Joel R Melamed,1105069849,"Attending MD,MetropolitanOperaPatron,GlimmerglassFestivalNationalCouncil,TanglewoodMusicCenterWalterPistonSociety,SEIU1199NE, \xe2\xad\x90\xef\xb8\x8f@TheOnlySeanFord BestNewcomer\xe2\xad\x90\xef\xb8\x8f","Salisbury, CT"
460,"RT @KrisAnneHall: While the media distracted us with #midterm election antics, this is what was going on behind the cameras &amp; hysteria... c\xe2\x80\xa6",SunRise,759908563187740674,May God Bless!,
461,"RT @damocrat: The thing that amazes me more than anything about Trump, is that millions of Americans believe the complete and utter bullshi\xe2\x80\xa6",Tony Gosling \xe2\x9c\x88,8863322,"Investigative radio journalist, Ex-BBC, Digger, land rights activist, #Jesus follower, #Bilderberg & #BormannNetwork exposer, historian, social justice editor.","Bristol, UK"
462,RT @NosapaiD: #Trump is really pissed off after the #midterm elections. This man is on the edge of a nervous breakdown. https://t.co/I2YOte\xe2\x80\xa6,Shadday Polony,177760241,"Hi, My Name Is Shadday Polony And I Was Born To Persevere","Montr\xc3\xa9al, QC"
463,"#Midterm #Democrat #Republican\nThe Blue Wave Failed, Republicans Won Out Overall\nhttps://t.co/5L7E5sC2uY",Dr. Michael Napa   \xe2\xad\x90 \xe2\xad\x90 \xe2\xad\x90 \xe2\xad\x90,2738798022,\xe2\x9a\xa0\xef\xb8\x8f Highly Offensive tweeting may apply. This is not a #SafeSpace and your Feelings don't matter whatsoever. $YUM Magic Disaster,"Ohio, USA"
464,NPC Statement on 2018 Elections - Democratic Socialists of America (DSA) https://t.co/xB1ZtLxNBR #US #Midterm #DSA,Jos\xc3\xa9 Pedro,142530837,"Male. Dog Person. Runner. Anti-War. Anti-Fascist. Socialist. Christian. Sporting Lisbon, Movies Fan. Proud Brother of Diogo Luis (1972-2011-forever in my heart)",Portugal
465,"https://t.co/5o053iaJ0l\n\nQuestion...if it is this difficult for a Republican to vote, how in the world are DACA peo\xe2\x80\xa6 https://t.co/5XnTTA7zyY",JoJo,4805090353,"Just your average American. Mother, Grandmother, Airforce brat, daughter of an American veteran.","Ohio, USA"
466,"RT @AJUpFront: PREVIEW: According to President Trump's #midterm campaign ad, Democrats had let in an undocumented migrant who killed police\xe2\x80\xa6",Mukhtar Karim,48115692,RTs are not personal endorsements.,United Kingdom
467,Democracy works: Record #voter turnout in #Oakland County #Michigan #midterm #election shows power of #people\xe2\x80\xa6 https://t.co/jhlW2n3mbH,Leland K. Bassett,256563453,Chairman & CEO of Bassett & Bassett Communication Managers and Counselors. LinkedIn:  Opinions my own https://t.co/tr0YsQyYKL,Detroit Pune Beirut
468,"RT @AJUpFront: PREVIEW: According to President Trump's #midterm campaign ad, Democrats had let in an undocumented migrant who killed police\xe2\x80\xa6",Adil Sajjad,896974588650954752,male,"Khairpur, Pakistan"
469,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,H davis,768300870454812672,"Retired army nurse, voted Obama in 08, but wised up. Am a strong Trump supporter! got on Twitter for his tweets!",
470,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,Mark Barrett,822529091748372481,,"Valparaiso, IN"
471,"WHAT IS GOING ON? - Trump, Immigrants, Midterms Fraud, and Fake News (With President #Trump standing up to\xe2\x80\xa6 https://t.co/nImlQC4kCA",TheOtherCodger,1060191232872321024,,
472,#Lawyers in pitched #battle over thorough #counting of #Florida #votes https://t.co/h7rwcTOsde via @msnbc #News\xe2\x80\xa6 https://t.co/5FL0Eg933T,"Adam, Diabetic Cyborg",14229632,"Mental Health/health advocate, geek, sneakerhead, dog lover, Historian, INFJ, w/ T1Diabetes, RRMS =redefinition of purpose blogger/vlogger perseverant","Longview, TX"
473,#Florida again the #scene of a #PostElection #BallotCounting fight https://t.co/6lpYF9M3x4 via @msnbc #News\xe2\x80\xa6 https://t.co/6cppwi54Qn,"Adam, Diabetic Cyborg",14229632,"Mental Health/health advocate, geek, sneakerhead, dog lover, Historian, INFJ, w/ T1Diabetes, RRMS =redefinition of purpose blogger/vlogger perseverant","Longview, TX"
474,#Turnout among #KeyGroups for #Democrats added to #GOP #midterm #loss https://t.co/KMeIaRjmCb via @msnbc #News\xe2\x80\xa6 https://t.co/k2kYnbH7hj,"Adam, Diabetic Cyborg",14229632,"Mental Health/health advocate, geek, sneakerhead, dog lover, Historian, INFJ, w/ T1Diabetes, RRMS =redefinition of purpose blogger/vlogger perseverant","Longview, TX"
475,"RT @AJUpFront: PREVIEW: According to President Trump's #midterm campaign ad, Democrats had let in an undocumented migrant who killed police\xe2\x80\xa6",Yassir,899657908199321602,,
476,RT @shoutattherevel: Not just in UK the lefties can't accept democratic decisions. #brexit #BrexitBetrayal #Midterms2018 #midterm #Florida\xe2\x80\xa6,Carol,26633364,Remember to look up at the stars instead of your feet...... obviously unless you have twinkly toes,
477,I hope someone is investigating all these\xe2\x80\x9dNewly Flipped\xe2\x80\x9d elections intheDems favor.I have yet to see a miraculous f\xe2\x80\xa6 https://t.co/DNhIwtaTJB,cjewell,519031521,"Proud to be an American \xf0\x9f\x87\xba\xf0\x9f\x87\xb8I love our President Donald Trump \xe2\x9d\xa4\xef\xb8\x8f Lover of the Arts! love animals, I have 2Cats & 1 dog, Enjoy good books,films \xf0\x9f\x93\x9a& the gym",WonderLand 
478,@realDonaldTrump We all know you want to distract from both WSJ articles AND the coming Mueller indictments AND hug\xe2\x80\xa6 https://t.co/OT859uYZyH,Kincaid,1507279322,One angry snowflake.  #FlipTheHouse #FlipTheSenate #GunSenseNow #VetsResistSupportSquadron #BlueWave,
479,"RT @AJUpFront: PREVIEW: According to President Trump's #midterm campaign ad, Democrats had let in an undocumented migrant who killed police\xe2\x80\xa6",Lulu,488155039,,
480,RT @Cjewell0422: This is INSANE! This is \xe2\x80\x9cThe People\xe2\x80\x99s\xe2\x80\x9d\xe2\x80\x99Electiom why aren\xe2\x80\x99t we allowed to even see what\xe2\x80\x99s being loaded or unloaded by these\xe2\x80\xa6,\xf0\x9f\x87\xae\xf0\x9f\x87\xb1\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Onifer\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xae\xf0\x9f\x87\xb1,1269562514,"Christian and Jesus follower. Pro-Life,2A MAGA. Republican. Follow for follow Trump 2020. link below to Trump shirts!","Calcutta, OH"
481,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,\xf0\x9f\x90\xbe \xf0\x9d\x93\x94\xf0\x9d\x93\xbf\xf0\x9f\x90\xb2,965423027012931584,\xf0\x9f\xa4\xa8\xf0\x9d\x91\x92\xf0\x9d\x93\x8b\xf0\x9d\x91\x92\xf0\x9d\x93\x87\xf0\x9d\x93\x8e \xf0\x9d\x92\xbd\xf0\x9d\x93\x8a\xf0\x9d\x93\x82\xf0\x9d\x92\xb6\xf0\x9d\x93\x83 \xf0\x9d\x93\x8c\xf0\x9d\x92\xb6\xf0\x9d\x93\x88 \xf0\x9d\x93\x82\xf0\x9d\x92\xb6\xf0\x9d\x92\xb9\xf0\x9d\x91\x92 \xf0\x9d\x91\x92\xf0\x9d\x93\x86\xf0\x9d\x93\x8a\xf0\x9d\x92\xb6\xf0\x9d\x93\x81 \xf0\x9d\x92\xbe\xf0\x9d\x92\xbb \xf0\x9d\x93\x8e\xf0\x9d\x91\x9c\xf0\x9d\x93\x8a \xf0\x9d\x93\x89\xf0\x9d\x92\xbd\xf0\x9d\x92\xbe\xf0\x9d\x93\x83\xf0\x9d\x93\x80 \xf0\x9d\x91\x9c\xf0\x9d\x93\x89\xf0\x9d\x92\xbd\xf0\x9d\x91\x92\xf0\x9d\x93\x87\xf0\x9d\x93\x8c\xf0\x9d\x92\xbe\xf0\x9d\x93\x88\xf0\x9d\x91\x92 \xf0\x9d\x91\x92\xf0\x9d\x93\x83\xf0\x9d\x92\xbf\xf0\x9d\x91\x9c\xf0\x9d\x93\x8e \xf0\x9d\x93\x8e\xf0\x9d\x91\x9c\xf0\x9d\x93\x8a\xf0\x9d\x93\x87 \xf0\x9d\x92\xb9\xf0\x9d\x91\x92\xf0\x9d\x93\x81\xf0\x9d\x93\x8a\xf0\x9d\x93\x88\xf0\x9d\x92\xbe\xf0\x9d\x91\x9c\xf0\x9d\x93\x83\xf0\x9d\x92\xb6\xf0\x9d\x93\x81 \xf0\x9d\x93\x88\xf0\x9d\x93\x8a\xf0\x9d\x93\x85\xf0\x9d\x91\x92\xf0\x9d\x93\x87\xf0\x9d\x92\xbe\xf0\x9d\x91\x9c\xf0\x9d\x93\x87\xf0\x9d\x92\xbe\xf0\x9d\x93\x89\xf0\x9d\x93\x8e\xf0\x9f\xa4\xaa,\xf0\x9d\x92\xab\xf0\x9d\x93\x81\xf0\x9d\x92\xb6\xf0\x9d\x93\x83\xf0\x9d\x91\x92\xf0\x9d\x93\x89 \xf0\x9d\x92\xb1\xf0\x9d\x91\x92\xf0\x9d\x93\x83\xf0\x9d\x93\x8a\xf0\x9d\x93\x88
482,This is INSANE! This is \xe2\x80\x9cThe People\xe2\x80\x99s\xe2\x80\x9d\xe2\x80\x99Electiom why aren\xe2\x80\x99t we allowed to even see what\xe2\x80\x99s being loaded or unloaded b\xe2\x80\xa6 https://t.co/voSp4QCGqJ,cjewell,519031521,"Proud to be an American \xf0\x9f\x87\xba\xf0\x9f\x87\xb8I love our President Donald Trump \xe2\x9d\xa4\xef\xb8\x8f Lover of the Arts! love animals, I have 2Cats & 1 dog, Enjoy good books,films \xf0\x9f\x93\x9a& the gym",WonderLand 
483,"OANN ""RT GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put\xe2\x80\xa6 https://t.co/gLPOA9icZR",Robert California,817162797826052097,"Looks like a Schrute, thinks like a Halpert, acts like a Beesly.",
484,Explain the #midterm election poll results to your students w/ #Gizmos. Help them investigate how reliably polls es\xe2\x80\xa6 https://t.co/6NelLgdLbe,ExploreLearning,19675956,We make Gizmos! Online math & science simulations that power inquiry and understanding. And\xe2\x80\xa6 We make Reflex! The most effective math fact fluency system ever.,
485,RT @JennaLeeUSA: Why do we even have #Midterm #Elections? Here's the backstory about why the House of Representatives is elected every 2 ye\xe2\x80\xa6,LEANN SEEHUSEN,68803674,,MARYLAND
